section_number,section_title,article_number,article_title,slug,statuses,warnings
3,Конструкция и техническая теория,3.15,Шум и вибрация,3-15,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.1,Радиальные шариковые подшипники,4-1,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.2,Радиально-упорные шариковые подшипники,4-2,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.3,Упорные шариковые подшипники,4-3,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.4,Цилиндрические роликовые подшипники,4-4,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.5,Конические роликовые подшипники,4-5,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.6,Сферические роликовые подшипники,4-6,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.7,Игольчатые подшипники,4-7,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.8,Самоустанавливающиеся подшипники,4-8,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.9,Шарнирные подшипники,4-9,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.10,Шарнирные головки,4-10,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.11,Корпусные подшипники,4-11,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.12,Подшипниковые узлы,4-12,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.13,Шпиндельные подшипники,4-13,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.14,Высокоточные подшипники,4-14,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.15,Высокотемпературные подшипники,4-15,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.16,Гибридные подшипники,4-16,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.17,Миниатюрные подшипники,4-17,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.18,Велосипедные подшипники,4-18,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.19,Автомобильные подшипники,4-19,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.20,Ступичные подшипники,4-20,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.21,Подшипники кондиционеров,4-21,нет данных; уточнить; требует проверки; не подтверждено,
4,Типы и модификации подшипников,4.22,Виброустойчивые подшипники,4-22,нет данных; уточнить; требует проверки; не подтверждено,
5,Бренды и производители,5.1,SKF,5-1,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.2,FAG,5-2,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.3,INA,5-3,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.4,NSK,5-4,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.5,NTN-SNR,5-5,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.6,KOYO,5-6,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.7,NACHI,5-7,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.8,NKE,5-8,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.9,HIWIN,5-9,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.10,IKO,5-10,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.11,THK,5-11,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.12,ABBA,5-12,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.13,Российские производители,5-13,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.14,Заводы ГПЗ,5-14,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.15,Производители СНГ,5-15,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.16,Премиальный сегмент,5-16,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.17,Средний сегмент,5-17,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.18,Низкий ценовой сегмент,5-18,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.19,Проверка оригинальности брендов,5-19,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
5,Бренды и производители,5.20,Признаки контрафакта,5-20,нет данных; уточнить; требует проверки; не подтверждено,"Запрещены неподтверждённые оценки качества бренда; допускаются только проверяемые сведения о сегменте, происхождении, специализации, оригинальности и признаках контрафакта."
6,"Эксплуатация, монтаж и диагностика",6.1,Правила хранения подшипников,6-1,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.2,Правила транспортировки,6-2,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.3,Приёмка подшипников на склад,6-3,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.4,Проверка упаковки и маркировки,6-4,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.5,Монтаж подшипников,6-5,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.6,Демонтаж подшипников,6-6,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.7,Инструмент для монтажа и демонтажа,6-7,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.8,Ревизия подшипников,6-8,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.9,Переконсервация,6-9,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.10,Основные причины повреждения,6-10,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.11,Диагностика шума,6-11,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.12,Диагностика люфта,6-12,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.13,Диагностика перегрева,6-13,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.14,Коррозия и загрязнение,6-14,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.15,Повреждение дорожек качения,6-15,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.16,Повреждение тел качения,6-16,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.17,Повреждение сепаратора,6-17,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.18,Повреждение уплотнений,6-18,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.19,Рекламации и возвраты,6-19,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
6,"Эксплуатация, монтаж и диагностика",6.20,Алгоритм обработки рекламации,6-20,нет данных; уточнить; требует проверки; не подтверждено,Рекомендации требуют сверки с документацией производителя и условиями работы узла.
7,Смежные изделия и комплектующие,7.1,Приводные ремни,7-1,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.2,Клиновые ремни,7-2,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.3,Зубчатые ремни,7-3,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.4,Поликлиновые ремни,7-4,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.5,Плоские ремни,7-5,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.6,Шкивы,7-6,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.7,Втулки Taper Bush,7-7,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.8,Цепи,7-8,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.9,Звёздочки,7-9,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.10,Сальники,7-10,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.11,Манжеты,7-11,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.12,Резиновые кольца круглого сечения,7-12,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.13,Резинотехнические изделия,7-13,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.14,Промышленные рукава,7-14,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.15,Рукава высокого давления,7-15,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.16,Стопорные кольца,7-16,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.17,Втулки скольжения,7-17,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.18,Линейные направляющие,7-18,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.19,Каретки,7-19,нет данных; уточнить; требует проверки; не подтверждено,
7,Смежные изделия и комплектующие,7.20,Шарико-винтовые передачи,7-20,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.1,Каталоги производителей подшипников,8-1,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.2,Каталоги SKF,8-2,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.3,Каталоги FAG / INA,8-3,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.4,Каталоги NSK,8-4,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.5,Каталоги NTN-SNR,8-5,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.6,Каталоги KOYO,8-6,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.7,Каталоги линейного перемещения,8-7,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.8,Каталоги THK,8-8,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.9,Каталоги IKO,8-9,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.10,Каталоги ABBA,8-10,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.11,Каталоги ремней,8-11,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.12,Каталоги шкивов,8-12,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.13,Таблицы аналогов,8-13,нет данных; уточнить; требует проверки; не подтверждено,"Аналог требует проверки по размерам, нагрузке, зазору, исполнению, бренду и условиям эксплуатации."
8,Каталоги и таблицы,8.14,Размерные таблицы,8-14,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.15,Таблицы ГОСТ ↔ ISO,8-15,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.16,Таблицы брендов,8-16,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.17,Таблицы складских остатков,8-17,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.18,Таблицы закупочных данных,8-18,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.19,Таблицы продажных данных,8-19,нет данных; уточнить; требует проверки; не подтверждено,
8,Каталоги и таблицы,8.20,Правила работы с таблицами,8-20,нет данных; уточнить; требует проверки; не подтверждено,
